,year,month,day,births,day_of_year,day_of_week,dt,t,s,spec_01_01,spec_02_14,spec_02_29,spec_04_01,spec_07_04,spec_10_31,spec_12_25,spec_12_26,spec_12_27,spec_12_28,spec_12_29,spec_12_30,spec_12_31,weekend
0,1969,1,1,8486,1,3,1969-01-01,1.0,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1969,1,2,9002,2,4,1969-01-02,2.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1969,1,3,9542,3,5,1969-01-03,3.0,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,1969,1,4,8960,4,6,1969-01-04,4.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4,1969,1,5,8390,5,7,1969-01-05,5.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,1969,1,6,9560,6,1,1969-01-06,6.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,1969,1,7,9738,7,2,1969-01-07,7.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,1969,1,8,9734,8,3,1969-01-08,8.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,1969,1,9,9434,9,4,1969-01-09,9.0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,1969,1,10,10042,10,5,1969-01-10,10.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,1969,1,11,9178,11,6,1969-01-11,11.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11,1969,1,12,8450,12,7,1969-01-12,12.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12,1969,1,13,9834,13,1,1969-01-13,13.0,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,1969,1,14,10366,14,2,1969-01-14,14.0,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,1969,1,15,9894,15,3,1969-01-15,15.0,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,1969,1,16,9662,16,4,1969-01-16,16.0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,1969,1,17,9974,17,5,1969-01-17,17.0,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,1969,1,18,9312,18,6,1969-01-18,18.0,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
18,1969,1,19,8622,19,7,1969-01-19,19.0,19.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19,1969,1,20,9808,20,1,1969-01-20,20.0,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,1969,1,21,10474,21,2,1969-01-21,21.0,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,1969,1,22,9884,22,3,1969-01-22,22.0,22.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,1969,1,23,9454,23,4,1969-01-23,23.0,23.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,1969,1,24,9798,24,5,1969-01-24,24.0,24.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
